Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2025-10-14,7:00 PM,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,Regulation,Adin Hill,Dustin Wolf,6,-105,-115,-170,145,1.5,150,-180
2025-10-14,7:30 PM,9:30 PM,Minnesota Wild,2,Dallas Stars,5,Regulation,Filip Gustavsson,Jake Oettinger,6,-115,-105,165,-200,-1.5,-160,135
2025-10-14,8:00 PM,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,Regulation,Brandon Bussi,Alex Nedeljkovic,6.5,-115,-105,-270,220,1.5,-105,-115
2025-10-14,8:30 PM,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,Regulation,Tristan Jarry,Lukas Dostal,6,-120,100,125,-150,-1.5,-205,170
2025-10-15,5:00 PM,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,Regulation,Leevi Meriläinen,Alex Lyon,6,-110,-110,-115,-105,1.5,210,-260
2025-10-15,5:00 PM,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,Regulation,Sergei Bobrovsky,Cam Talbot,5.5,-115,-105,-160,135,1.5,165,-200
2025-10-15,7:30 PM,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,Regulation,Arvid Soderblom,Joel Hofer,6,-105,-115,205,-250,-1.5,-125,105
2025-10-15,7:30 PM,9:30 PM,Calgary Flames,1,Utah Mammoth,3,Regulation,Devin Cooley,Karel Vejmelka,6,-110,-110,195,-240,-1.5,-125,105
2025-10-16,5:00 PM,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,Igor Shesterkin,Anthony Stolarz,6,100,-120,125,-150,-1.5,-205,170
2025-10-16,5:00 PM,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,Juuse Saros,Jakub Dobes,6,-105,-115,120,-140,-1.5,-220,180
2025-10-16,5:00 PM,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,Philipp Grubauer,Linus Ullmark,6,-110,-110,140,-165,-1.5,-190,160
2025-10-16,5:00 PM,7:00 PM,Florida Panthers,1,New Jersey Devils,3,Regulation,Daniil Tarasov,Jake Allen,6,-115,-105,130,-155,-1.5,-190,160
2025-10-16,5:00 PM,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,Regulation,Connor Hellebuyck,Samuel Ersson,5.5,-120,100,-140,120,1.5,180,-220
2025-10-16,5:00 PM,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,Regulation,Scott Wedgewood,Elvis Merzlikins,6.5,-110,-110,-165,140,1.5,145,-170
2025-10-16,5:30 PM,7:30 PM,Edmonton Oilers,2,New York Islanders,4,Regulation,Stuart Skinner,David Rittich,6,-120,100,-165,140,1.5,150,-180
2025-10-16,6:00 PM,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,Regulation,Thatcher Demko,Casey DeSmith,6,-120,100,145,-170,-1.5,-170,145
2025-10-16,8:00 PM,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,Regulation,Jeremy Swayman,Akira Schmid,6,-110,-110,195,-240,-1.5,-135,115
2025-10-16,8:00 PM,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,Regulation,Frederik Andersen,Lukas Dostal,6.5,-105,-115,-200,165,1.5,130,-155
2025-10-16,8:00 PM,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,Regulation,Arturs Silovs,Anton Forsberg,6.5,100,-120,165,-200,-1.5,-150,125
2025-10-17,5:00 PM,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,Andrei Vasilevskiy,John Gibson,6,-105,-115,-130,110,1.5,180,-220
